release_tag,version,path,sha256
v0.0.2,1.0.0,db/migration/V1.0.0__init_schema.sql,2d62aa70b0f58851579db62034ad12556409201a3cd2e7ad036d709348150645
v0.0.2,1.0.1,db/migration/V1.0.1__add_account_nickname.sql,72e68808690ae1a44f22181349d1bae83bae3a7466898d02e5b5d6ef798d2b49
v0.0.2,1.1.0,db/migration/V1.1.0__add_friend_system.sql,9ec957d1e8aa9de94ed8fb5f72695ea8b23f48695153a405f5ce53a3c35cff65
v0.0.2,1.2.0,db/migration/V1.2.0__audit_views_and_share_nullable.sql,e0546e359018fc003aedd51ad9f01feec5211a128fe938699b3e315dadee8386
v0.0.2,1.2.1,db/migration/V1.2.1__add_anomaly_check_procedure.sql,c0c29e77f57e32ee84e475351ed8cb408c1548693ffcd80f96378d26ea58bb59
v0.0.2,1.2.2,db/migration/V1.2.2__add_ticket_view_time.sql,c86f6fd82c6d0b6cac75251c6e29f7d843fe300f98216d146ffcad840f0abb6d
v0.0.2,1.2.3,db/migration/V1.2.3__add_operation_log_backup_procedure.sql,79461ff26b1b790ad2afe77548832583e1a2241610bb50fe2a21154106c2453e
v0.0.2,1.2.4,db/migration/V1.2.4__add_error_rate_threshold_config.sql,18dca249aabdf4f1586a85bdf80e8f918fa21491879dbf92274c06530f86a03b
v0.0.2,1.2.5,db/migration/V1.2.5__replace_select_star_views_and_procedure.sql,571b50e881aea71c62a95d70bdc370d3891fe0045f38f4d298a9707f8e1c8ff7
v0.0.2,1.2.6,db/migration/V1.2.6__file_query_indexes.sql,ea7a16ec78a3ad2b9b42210c56b4798e745b9d79f7bf657ff52032f72225f61a
v0.0.2,1.3.0,db/migration/V1.3.0__quota_governance.sql,34cb8e17d02d4e837680808bb1d2fc56d5b5069f6c925399c2c5c3cc73b68897
v0.0.2,1.3.1,db/migration/V1.3.1__file_query_keyword_mode_indexes.sql,5eecea348bd3e23da887b574079219fab709fb2702847cc3499e7542da2fb985
v0.0.2,1.3.2,db/migration/V1.3.2__quota_rollout_audit.sql,fa202266f2dd9030f20e0618e2dbaab3f07557ddfdfc7afad05694a1d26776c1
v0.0.2,1.4.0,db/migration/V1.4.0__file_version_chain.sql,a02794f1a57e4908a8bb149b6284ba38ce82ffcbdee837ce3de1437e255b6aed
v0.0.2,1.5.0,db/migration/V1.5.0__integrity_alert.sql,f0b90f912d9778ff1712c65e52c4f159dfa0a5c8fdf0c1fe68562a5f29c9edff
v0.0.2,1.5.1,db/migration/V1.5.1__expand_file_param_column.sql,8b88ac6480f14e73b6f8c4437f6ba010d2382dc3ec5eab66f27a75240254d06d
v0.0.2,1.6.0,db/migration/V1.6.0__remove_auto_increment.sql,910063f4795ec9c7c5f19fef24e7d2be7d06fc3fc905dccec53a0a3b8c1da28f
v0.0.2,1.7.0,db/migration/V1.7.0__add_soft_delete_columns.sql,6d43fb11866fa6b4a2c749c736be3612feb941b30d389fa4d253fb317a7a414c
